filename,palsa
760_73_5025_2018_crop_14,7.25
760_73_5025_2018_crop_15,0.75
760_73_5025_2018_crop_17,1.5
760_73_5025_2018_crop_22,8.5
760_73_5025_2018_crop_23,13.75
760_73_5025_2018_crop_30,17.75
760_73_5025_2018_crop_33,0.25
760_73_5025_2018_crop_34,21.75
760_73_5025_2018_crop_45,3.0
760_73_5025_2018_crop_46,1.25
760_73_5025_2018_crop_48,0.75
760_73_5025_2018_crop_54,18.5
760_73_5025_2018_crop_56,0.0
760_73_5025_2018_crop_57,3.75
760_73_5025_2018_crop_58,1.25
760_73_5025_2018_crop_67,0.75
760_73_5025_2018_crop_68,4.25
760_73_5025_2018_crop_69,1.0
760_73_5025_2018_crop_76,0.25
760_73_5025_2018_crop_77,0.5
760_73_5025_2018_crop_78,0.5
760_73_5025_2018_crop_88,0.25
760_73_5025_2018_crop_98,2.0
760_73_5025_2018_crop_123,0.0
760_73_5025_2018_crop_133,15.75
760_73_5025_2018_crop_134,0.5
760_73_5025_2018_negcrop_0,0.0
760_73_5025_2018_negcrop_1,0.0
760_73_5025_2018_negcrop_4,0.0
760_73_5025_2018_negcrop_5,0.0
760_73_5025_2018_negcrop_6,0.0
760_73_5025_2018_negcrop_7,0.0
760_73_5025_2018_negcrop_8,0.0
760_73_5025_2018_negcrop_9,0.0
760_73_5025_2018_negcrop_10,0.0
760_73_5025_2018_negcrop_11,0.0
760_73_5025_2018_negcrop_12,0.0
760_73_5025_2018_negcrop_14,0.0
760_73_5025_2018_negcrop_15,0.0
760_73_5025_2018_negcrop_16,0.0
760_73_5025_2018_negcrop_17,0.0
760_73_5025_2018_negcrop_18,0.0
760_73_5025_2018_negcrop_20,0.0
760_73_5025_2018_negcrop_22,0.0
760_73_5025_2018_negcrop_24,0.0
760_73_5025_2018_negcrop_25,0.0
760_73_5025_2018_negcrop_26,0.0
760_73_5025_2018_negcrop_27,0.0
760_73_5025_2018_negcrop_28,0.0
760_73_5025_2018_negcrop_30,0.0
760_73_5025_2018_negcrop_31,0.0
760_73_5025_2018_negcrop_33,0.0
760_73_5025_2018_negcrop_35,0.0
760_73_5025_2018_negcrop_36,0.0
760_73_5025_2018_negcrop_39,0.0
760_73_5025_2018_negcrop_42,0.0
760_73_5025_2018_negcrop_43,0.0
760_73_5025_2018_negcrop_45,0.0
760_73_5025_2018_negcrop_46,0.0
752_65_7550_2015_crop_9,1.75
752_65_7550_2015_crop_10,2.0
752_65_7550_2015_crop_19,7.25
752_65_7550_2015_crop_20,15.0
752_65_7550_2015_crop_32,12.5
752_65_7550_2015_negcrop_0,0.0
752_65_7550_2015_negcrop_1,0.0
752_65_7550_2015_negcrop_2,0.0
752_65_7550_2015_negcrop_4,0.0
752_65_7550_2015_negcrop_5,0.0
752_65_7550_2015_negcrop_6,0.0
765_73_5000_2016_crop_24,14.75
765_73_5000_2016_crop_26,12.75
765_73_5000_2016_crop_36,31.0
765_73_5000_2016_crop_38,0.25
765_73_5000_2016_crop_51,0.0
765_73_5000_2016_negcrop_0,0.0
765_73_5000_2016_negcrop_1,0.0
765_73_5000_2016_negcrop_3,0.0
765_73_5000_2016_negcrop_4,0.0
765_73_5000_2016_negcrop_5,0.0
765_73_5000_2016_negcrop_6,0.0
765_73_5000_2016_negcrop_7,0.0
764_74_5075_2018_crop_3,16.5
764_74_5075_2018_crop_7,9.5
764_74_5075_2018_crop_8,8.25
764_74_5075_2018_crop_14,32.0
764_74_5075_2018_crop_26,0.75
764_74_5075_2018_crop_27,10.0
764_74_5075_2018_crop_28,38.25
764_74_5075_2018_crop_29,23.75
764_74_5075_2018_crop_30,15.25
764_74_5075_2018_crop_42,31.25
764_74_5075_2018_crop_43,26.75
764_74_5075_2018_crop_46,0.5
764_74_5075_2018_crop_47,2.25
764_74_5075_2018_crop_54,24.0
764_74_5075_2018_crop_55,39.75
764_74_5075_2018_crop_65,16.75
764_74_5075_2018_crop_66,28.75
764_74_5075_2018_crop_71,0.5
764_74_5075_2018_crop_78,28.25
764_74_5075_2018_crop_79,21.25
764_74_5075_2018_crop_80,13.25
764_74_5075_2018_crop_81,7.0
764_74_5075_2018_crop_82,0.0
764_74_5075_2018_crop_90,3.0
764_74_5075_2018_crop_92,1.5
764_74_5075_2018_crop_93,1.75
764_74_5075_2018_crop_100,12.0
764_74_5075_2018_crop_108,4.25
764_74_5075_2018_crop_109,0.25
764_74_5075_2018_crop_110,12.25
764_74_5075_2018_crop_111,8.25
764_74_5075_2018_crop_112,0.25
764_74_5075_2018_crop_120,4.75
764_74_5075_2018_crop_122,48.25
764_74_5075_2018_crop_123,8.5
764_74_5075_2018_crop_133,5.75
764_74_5075_2018_negcrop_1,0.0
764_74_5075_2018_negcrop_3,0.0
764_74_5075_2018_negcrop_4,0.0
764_74_5075_2018_negcrop_5,0.0
764_74_5075_2018_negcrop_6,0.0
764_74_5075_2018_negcrop_8,0.0
764_74_5075_2018_negcrop_9,0.0
764_74_5075_2018_negcrop_10,0.0
764_74_5075_2018_negcrop_11,0.0
764_74_5075_2018_negcrop_12,0.0
764_74_5075_2018_negcrop_14,0.0
764_74_5075_2018_negcrop_15,0.0
764_74_5075_2018_negcrop_16,0.0
764_74_5075_2018_negcrop_17,0.0
764_74_5075_2018_negcrop_18,0.0
764_74_5075_2018_negcrop_19,0.0
764_74_5075_2018_negcrop_20,0.0
764_74_5075_2018_negcrop_21,0.0
764_74_5075_2018_negcrop_22,0.0
764_74_5075_2018_negcrop_23,0.0
764_74_5075_2018_negcrop_24,0.0
764_74_5075_2018_negcrop_25,0.0
764_74_5075_2018_negcrop_26,0.0
764_74_5075_2018_negcrop_27,0.0
764_74_5075_2018_negcrop_28,0.0
764_74_5075_2018_negcrop_30,0.0
764_74_5075_2018_negcrop_31,0.0
764_74_5075_2018_negcrop_34,0.0
764_74_5075_2018_negcrop_36,0.0
764_74_5075_2018_negcrop_37,0.0
764_74_5075_2018_negcrop_39,0.0
764_74_5075_2018_negcrop_40,0.0
764_74_5075_2018_negcrop_41,0.0
764_74_5075_2018_negcrop_43,0.0
764_74_5075_2018_negcrop_44,0.0
