,palsa_percentage
760_73_5025_2018_crop_14,7.25
760_73_5025_2018_crop_15,0.75
760_73_5025_2018_crop_16,3.25
760_73_5025_2018_crop_17,1.5
760_73_5025_2018_crop_18,7.5
760_73_5025_2018_crop_20,4.0
760_73_5025_2018_crop_21,2.75
760_73_5025_2018_crop_22,8.5
760_73_5025_2018_crop_23,13.75
760_73_5025_2018_crop_26,5.5
760_73_5025_2018_crop_30,17.75
760_73_5025_2018_crop_31,0.0
760_73_5025_2018_crop_32,2.25
760_73_5025_2018_crop_33,0.25
760_73_5025_2018_crop_34,21.75
760_73_5025_2018_crop_35,16.75
760_73_5025_2018_crop_42,21.75
760_73_5025_2018_crop_43,2.0
760_73_5025_2018_crop_44,1.0
760_73_5025_2018_crop_45,3.0
760_73_5025_2018_crop_46,1.25
760_73_5025_2018_crop_48,0.75
760_73_5025_2018_crop_54,18.5
760_73_5025_2018_crop_55,3.5
760_73_5025_2018_crop_56,0.0
760_73_5025_2018_crop_57,3.75
760_73_5025_2018_crop_58,1.25
760_73_5025_2018_crop_66,0.25
760_73_5025_2018_crop_67,0.75
760_73_5025_2018_crop_68,4.25
760_73_5025_2018_crop_69,1.0
760_73_5025_2018_crop_76,0.25
760_73_5025_2018_crop_77,0.5
760_73_5025_2018_crop_78,0.5
760_73_5025_2018_crop_80,3.5
760_73_5025_2018_crop_87,2.25
760_73_5025_2018_crop_88,0.25
760_73_5025_2018_crop_89,0.0
760_73_5025_2018_crop_91,0.5
760_73_5025_2018_crop_98,2.0
760_73_5025_2018_crop_99,5.25
760_73_5025_2018_crop_114,0.5
760_73_5025_2018_crop_121,6.25
760_73_5025_2018_crop_122,0.75
760_73_5025_2018_crop_123,0.0
760_73_5025_2018_crop_133,15.75
760_73_5025_2018_crop_134,0.5
760_73_5025_2018_negcrop_0,0.0
760_73_5025_2018_negcrop_1,0.0
760_73_5025_2018_negcrop_2,0.0
760_73_5025_2018_negcrop_3,0.0
760_73_5025_2018_negcrop_4,0.0
760_73_5025_2018_negcrop_5,0.0
760_73_5025_2018_negcrop_6,0.0
760_73_5025_2018_negcrop_7,0.0
760_73_5025_2018_negcrop_8,0.0
760_73_5025_2018_negcrop_9,0.0
760_73_5025_2018_negcrop_10,0.0
760_73_5025_2018_negcrop_11,0.0
760_73_5025_2018_negcrop_12,0.0
760_73_5025_2018_negcrop_13,0.0
760_73_5025_2018_negcrop_14,0.0
760_73_5025_2018_negcrop_15,0.0
760_73_5025_2018_negcrop_16,0.0
760_73_5025_2018_negcrop_17,0.0
760_73_5025_2018_negcrop_18,0.0
760_73_5025_2018_negcrop_19,0.0
760_73_5025_2018_negcrop_20,0.0
760_73_5025_2018_negcrop_21,0.0
760_73_5025_2018_negcrop_22,0.0
760_73_5025_2018_negcrop_23,0.0
760_73_5025_2018_negcrop_24,0.0
760_73_5025_2018_negcrop_25,0.0
760_73_5025_2018_negcrop_26,0.0
760_73_5025_2018_negcrop_27,0.0
760_73_5025_2018_negcrop_28,0.0
760_73_5025_2018_negcrop_29,0.0
760_73_5025_2018_negcrop_30,0.0
760_73_5025_2018_negcrop_31,0.0
760_73_5025_2018_negcrop_32,0.0
760_73_5025_2018_negcrop_33,0.0
760_73_5025_2018_negcrop_34,0.0
760_73_5025_2018_negcrop_35,0.0
760_73_5025_2018_negcrop_36,0.0
760_73_5025_2018_negcrop_37,0.0
760_73_5025_2018_negcrop_38,0.0
760_73_5025_2018_negcrop_39,0.0
760_73_5025_2018_negcrop_40,0.0
760_73_5025_2018_negcrop_41,0.0
760_73_5025_2018_negcrop_42,0.0
760_73_5025_2018_negcrop_43,0.0
760_73_5025_2018_negcrop_44,0.0
760_73_5025_2018_negcrop_45,0.0
760_73_5025_2018_negcrop_46,0.0
760_73_5025_2018_crop_14_aug,7.25
760_73_5025_2018_crop_15_aug,0.75
760_73_5025_2018_crop_16_aug,3.25
760_73_5025_2018_crop_17_aug,1.5
760_73_5025_2018_crop_18_aug,7.5
760_73_5025_2018_crop_20_aug,4.0
760_73_5025_2018_crop_21_aug,2.75
760_73_5025_2018_crop_22_aug,8.5
760_73_5025_2018_crop_23_aug,13.75
760_73_5025_2018_crop_26_aug,5.5
760_73_5025_2018_crop_30_aug,17.75
760_73_5025_2018_crop_31_aug,0.0
760_73_5025_2018_crop_32_aug,2.25
760_73_5025_2018_crop_33_aug,0.25
760_73_5025_2018_crop_34_aug,21.75
760_73_5025_2018_crop_35_aug,16.75
760_73_5025_2018_crop_42_aug,21.75
760_73_5025_2018_crop_43_aug,2.0
760_73_5025_2018_crop_44_aug,1.0
760_73_5025_2018_crop_45_aug,3.0
760_73_5025_2018_crop_46_aug,1.25
760_73_5025_2018_crop_48_aug,0.75
760_73_5025_2018_crop_54_aug,18.5
760_73_5025_2018_crop_55_aug,3.5
760_73_5025_2018_crop_56_aug,0.0
760_73_5025_2018_crop_57_aug,3.75
760_73_5025_2018_crop_58_aug,1.25
760_73_5025_2018_crop_66_aug,0.25
760_73_5025_2018_crop_67_aug,0.75
760_73_5025_2018_crop_68_aug,4.25
760_73_5025_2018_crop_69_aug,1.0
760_73_5025_2018_crop_76_aug,0.25
760_73_5025_2018_crop_77_aug,0.5
760_73_5025_2018_crop_78_aug,0.5
760_73_5025_2018_crop_80_aug,3.5
760_73_5025_2018_crop_87_aug,2.25
760_73_5025_2018_crop_88_aug,0.25
760_73_5025_2018_crop_89_aug,0.0
760_73_5025_2018_crop_91_aug,0.5
760_73_5025_2018_crop_98_aug,2.0
760_73_5025_2018_crop_99_aug,5.25
760_73_5025_2018_crop_114_aug,0.5
760_73_5025_2018_crop_121_aug,6.25
760_73_5025_2018_crop_122_aug,0.75
760_73_5025_2018_crop_123_aug,0.0
760_73_5025_2018_crop_133_aug,15.75
760_73_5025_2018_crop_134_aug,0.5
752_65_7550_2015_crop_7,12.75
752_65_7550_2015_crop_8,2.5
752_65_7550_2015_crop_9,1.75
752_65_7550_2015_crop_10,2.0
752_65_7550_2015_crop_19,7.25
752_65_7550_2015_crop_20,15.0
752_65_7550_2015_crop_32,12.5
